family,title,start_field,end_field,lam,threshold_c,dimension,span,convention,phase_signature,phase_label,source,polynomial,nodes,edges,components,cycle_rank,degree_sequence,total_edge_points,is_trivalent,interior_voxels,interior_fraction,interior_components,euler_characteristic,handle_rank,touches_boundary,boundary_faces,skeleton_voxels,surface_points,surface_cells,surface_open_edges,surface_nonmanifold_edges,surface_is_closed,field_min,field_max,field_mean,field_std,compact_level_min,compact_level_max,compact_level_mean,compact_level_std,exact_yamada_attempted,geometry_path,sample_seconds,skeleton_seconds,graph_seconds,yamada_seconds,surface_seconds,total_seconds,error,evaluation_kind,normalization,projection,is_subcubic,classification_computed,component_count_matches,void_components
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.0,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","yamada:Mul(Add(Pow(Symbol('Y'), Integer(2)), Integer(1)), Add(Pow(Symbol('Y'), Integer(2)), Symbol('Y'), Integer(1)), Add(Pow(Symbol('Y'), Integer(6)), Mul(Integer(-1), Integer(3), Pow(Symbol('Y'), Integer(5))), Mul(Integer(8), Pow(Symbol('Y'), Integer(4))), Mul(Integer(-1), Integer(8), Pow(Symbol('Y'), Integer(3))), Mul(Integer(8), Pow(Symbol('Y'), Integer(2))), Mul(Integer(-1), Integer(3), Symbol('Y')), Integer(1)))",Yamada (Y**2 + 1)*(Y**2 + Y + 1)*(Y**6 - 3*Y**5 + 8*Y**4 - 8*Y**3 + 8*Y**2 - 3*Y + 1),yamada,(Y**2 + 1)*(Y**2 + Y + 1)*(Y**6 - 3*Y**5 + 8*Y**4 - 8*Y**3 + 8*Y**2 - 3*Y + 1),11,12,4,5,"[3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0]",132,True,24424,0.093170166015625,4,-1,5,False,[],235,13308,26560,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.5000000000000004,0.6002764116308872,0.44203941568388505,True,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c000.json.gz,0.016071040998212993,0.014589958009310067,0.02768187498440966,0.11304908304009587,0.04468079097568989,0.2720209580147639,,spatial-yamada,signed-minimum-degree-zero,"{'rotation_angles': (-74.97919282313819, -34.74708227220226, 64.78864084580074), 'rotation_order': 'ZYX', 'num_crossings': 2, 'pd_code': 'V[];V[3,0,2];V[4,5,3];V[7,6,1];V[10,9,6];V[11,9,2];V[13,12,5];V[4,15,8];V[10,14,15];V[];V[];X[14,7,13,8];X[12,1,11,0]'}",True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.015,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","yamada:Mul(Integer(-1), Add(Pow(Symbol('Y'), Integer(2)), Integer(1)), Add(Pow(Symbol('Y'), Integer(2)), Symbol('Y'), Integer(1)), Add(Pow(Symbol('Y'), Integer(6)), Mul(Integer(-1), Integer(3), Pow(Symbol('Y'), Integer(5))), Mul(Integer(8), Pow(Symbol('Y'), Integer(4))), Mul(Integer(-1), Integer(8), Pow(Symbol('Y'), Integer(3))), Mul(Integer(8), Pow(Symbol('Y'), Integer(2))), Mul(Integer(-1), Integer(3), Symbol('Y')), Integer(1)))",Yamada -(Y**2 + 1)*(Y**2 + Y + 1)*(Y**6 - 3*Y**5 + 8*Y**4 - 8*Y**3 + 8*Y**2 - 3*Y + 1),yamada,-(Y**2 + 1)*(Y**2 + Y + 1)*(Y**6 - 3*Y**5 + 8*Y**4 - 8*Y**3 + 8*Y**2 - 3*Y + 1),8,12,1,5,"[3, 3, 3, 3, 3, 3, 3, 3]",133,True,24838,0.09474945068359375,1,-4,5,False,[],255,13167,26294,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4850000000000005,0.594568833883018,0.43867057543751464,True,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c001.json.gz,0.016071040998212993,0.014353832986671478,0.02141054201638326,0.08939329197164625,0.0452027500141412,0.1911668329848908,,spatial-yamada,signed-minimum-degree-zero,"{'rotation_angles': (-74.97919282313819, -34.74708227220226, 64.78864084580074), 'rotation_order': 'ZYX', 'num_crossings': 2, 'pd_code': 'V[3,0,2];V[4,5,3];V[7,6,1];V[10,9,6];V[11,9,2];V[13,12,5];V[4,15,8];V[10,14,15];X[14,7,13,8];X[11,0,12,1]'}",True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.03,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=8;b=0;gcomp=1;beta=8;deg=((3, 14),);wl=291a37ad1b21709bf5b0f41f8f272d4d","core h=8, beta=8, deg=((3, 14),), WL=291a37ad1b",large-core,,14,21,1,8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",215,True,25063,0.09560775756835938,1,-7,8,False,[],273,13224,26416,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4700000000000004,0.5889338152520256,0.43535246051079723,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c002.json.gz,0.016071040998212993,0.014870457991492003,0.024966207973193377,0.0,0.0671219170326367,0.14020570798311383,,not-evaluated,,,True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.045,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=8;b=0;gcomp=1;beta=8;deg=((3, 14),);wl=291a37ad1b21709bf5b0f41f8f272d4d","core h=8, beta=8, deg=((3, 14),), WL=291a37ad1b",large-core,,14,21,1,8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",218,True,25327,0.09661483764648438,1,-7,8,False,[],275,13152,26272,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4550000000000005,0.583366317719678,0.43208667187977184,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c003.json.gz,0.016071040998212993,0.015091957990080118,0.03152387496083975,0.0,0.04384679195936769,0.11535591597203165,,not-evaluated,,,True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.06,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=8;b=0;gcomp=1;beta=8;deg=((3, 14),);wl=291a37ad1b21709bf5b0f41f8f272d4d","core h=8, beta=8, deg=((3, 14),), WL=291a37ad1b",large-core,,14,21,1,8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",218,True,25327,0.09661483764648438,1,-7,8,False,[],275,13152,26284,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4400000000000004,0.5778728132479732,0.4288800934141716,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c004.json.gz,0.016071040998212993,0.016451167000923306,0.03069783397950232,0.0,0.09467750001931563,0.16452562500489876,,not-evaluated,,,True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.075,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=11;b=0;gcomp=1;beta=11;deg=((3, 20),);wl=b7070e7b808157e9ed8a7b77fb7ccb4d","core h=11, beta=11, deg=((3, 20),), WL=b7070e7b80",large-core,,20,30,1,11,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",246,True,25537,0.09741592407226562,1,-10,11,False,[],280,13203,26386,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4250000000000005,0.5724490241499277,0.42573529461150633,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c005.json.gz,0.016071040998212993,0.014972749981097877,0.033838917035609484,0.0,0.045175708015449345,0.11822866601869464,,not-evaluated,,,True,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.09,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=14;b=0;gcomp=1;beta=14;deg=((3, 14), (6, 3));wl=5a83bc3703a866a643529a7fe21dc569","core h=14, beta=14, deg=((3, 14), (6, 3)), WL=5a83bc3703",large-core,,17,30,1,14,"[6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",248,False,25873,0.09869766235351562,1,-13,14,False,[],281,13314,26620,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.4100000000000004,0.5671061712028751,0.4226456446785882,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c006.json.gz,0.016071040998212993,0.01548366597853601,0.0324277090257965,0.0,0.042987082968465984,0.1147156250081025,,not-evaluated,,,False,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.105,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=14;b=0;gcomp=1;beta=14;deg=((3, 14), (6, 3));wl=5a83bc3703a866a643529a7fe21dc569","core h=14, beta=14, deg=((3, 14), (6, 3)), WL=5a83bc3703",large-core,,17,30,1,14,"[6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",248,False,25873,0.09869766235351562,1,-13,14,False,[],281,13314,26620,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.405626121623441,0.5618384709204852,0.41962099079877146,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c007.json.gz,0.016071040998212993,0.015085457998793572,0.03159070899710059,0.0,0.04758483299519867,0.12306399998487905,,not-evaluated,,,False,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.12,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=14;b=0;gcomp=1;beta=14;deg=((3, 14), (6, 3));wl=5a83bc3703a866a643529a7fe21dc569","core h=14, beta=14, deg=((3, 14), (6, 3)), WL=5a83bc3703",large-core,,17,30,1,14,"[6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",248,False,26278,0.10024261474609375,1,-13,14,False,[],283,13257,26530,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.405626121623441,0.556648034464321,0.41666048385773463,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c008.json.gz,0.016071040998212993,0.01616537501104176,0.03490437497384846,0.0,0.046488040999975055,0.12541037501068786,,not-evaluated,,,False,True,True,0
gyroid_to_diamond,Gyroid -> Diamond,gyroid,diamond,0.0,0.135,64,"((-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345), (-7.0685834705770345, 7.0685834705770345))","Omega(lambda,c) = {r : F_lambda(r) <= c and Phi_domain(r) <= 0}","core:ic=1;h=14;b=0;gcomp=1;beta=14;deg=((3, 14), (6, 3));wl=5a83bc3703a866a643529a7fe21dc569","core h=14, beta=14, deg=((3, 14), (6, 3)), WL=5a83bc3703",large-core,,17,30,1,14,"[6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",248,False,26707,0.10187911987304688,1,-13,14,False,[],284,13365,26770,0,0,True,-1.5000000000000004,1.5000000000000004,0.0,0.8639937314380337,-0.8854463751607885,1.405626121623441,0.5515284796373638,0.41377340496581944,False,_build/arxiv_revision/tpms_n64/geometry/gyroid_to_diamond_lambda000_c009.json.gz,0.016071040998212993,0.015345291001722217,0.04188904201146215,0.0,0.047224875015672296,0.13111650000791997,,not-evaluated,,,False,True,True,0
